trial_id,trial_name,principal_investigator,start_date,end_date,trial_description
e6687aa8-7408-4690-a14d-cc0b8dea99d2,then,Jessica Alvarez,2024-01-11,2024-01-13,Staff team deep product ever success. Bank form figure write every option box expert. Democratic develop green box difference.
7490ea6a-b6d9-4f4a-8774-c996e3eac999,for,Christina Reyes,2024-01-11,2024-01-08,Last onto source hold far. Reflect institution summer be I spend police through. Control to religious beautiful cell maybe about. Condition anything begin ever off.
7200902b-5db8-41ab-9f21-0bf5433c28ce,however,Christopher Newman,2024-01-12,2024-01-10,"Base capital assume house follow eye improve. Per type his poor.
May help care everyone page discuss prevent. Traditional both hospital wind."
44024939-1487-4ed6-8131-70531b98eda3,kind,Isaiah Barnes,2024-01-08,2024-01-14,Want candidate stuff approach report hand second. Walk past race else instead million. Idea indicate major better and policy couple.
f8115cda-8bb9-4240-9ece-e653153f2986,thank,Ernest Hutchinson,2024-01-06,2024-01-13,Size your tend American clearly expect ahead listen. Result two professional bring.
a073f79b-bba0-4732-a3e5-8aa0e60d5845,man,Craig Sherman,2024-01-01,2024-01-11,Member money method room seem community kid attack. Similar later collection debate quickly doctor ten.
5a8664c2-4d71-4050-9e37-d1bb97e31557,follow,Raymond Parker,2024-01-07,2024-01-10,"According reach difference idea way high rule. Executive reveal PM become.
Indeed soldier consumer such perform book. Dark similar smile."
107bb576-51bb-46e1-a359-79de4a584a61,ability,Cheryl Cortez MD,2024-01-10,2024-01-01,"Democrat loss will perform. Ball listen environment. Fire art much support seat.
Possible head no. Team hour need develop create trade small billion."
9cacab92-48b1-4f73-b413-2281441b30b8,four,Patricia Huerta,2024-01-04,2024-01-02,Force including among east so. Black price carry hope day. Tough policy might. Two reflect word method about.
0bfbcb1b-1247-411f-aeb1-51ef3bb8ef8a,television,Donna Vance,2024-01-03,2024-01-15,Human it mouth street fire main measure. Realize morning management ask different also country.
7f5f08a7-7362-4c0c-93d9-ab59285488ff,success,Linda Solis,2024-01-14,2024-01-10,"Protect morning why individual win fast after. Forget section how top simple boy support positive.
Central dark care national campaign claim. Artist never particularly again interesting."
d4d1e8f2-4049-4b3d-88d6-09a4d8814a32,want,Michael Reyes,2024-01-08,2024-01-09,"Mind here relationship family thought themselves face.
Tough work raise tax material. Suggest society story bill throw near."
c6713055-07d0-463b-b2c9-f90007923303,central,Victor Hill,2024-01-15,2024-01-08,"Success positive such though. Necessary total rock certain.
Nation degree conference foreign group understand professor. Move need walk here."
9f9639f3-c930-4203-977a-bff6e340dadc,crime,Jennifer Herrera,2024-01-07,2024-01-11,"Everything inside only letter anything art. Debate receive conference.
Performance total eye do paper TV road. Science list dog. Identify effort table ball financial prove."
0798910e-ad6c-4ff0-a41d-54918134953c,drop,Ryan Sharp,2024-01-09,2024-01-14,"Measure way age international or impact. Argue practice shoulder protect rather.
Quickly available someone less will PM. Again south life true forget himself source."
463b36b8-4b48-49cd-a6fe-4a30ef586832,scene,William Snyder,2024-01-03,2024-01-15,"Focus list life cost. Summer cultural project rather. Knowledge part PM staff account believe. Some reality large occur mother.
Somebody like baby free. Listen meet thank civil."
6e8f94de-bb7d-488d-8636-57a4a58e187b,individual,Tiffany Donaldson,2024-01-12,2024-01-13,"Mrs parent step reveal through. Spring sing group common table bag.
Money respond page than future growth allow. Source everything land. Tv gas relationship few."
049aa629-b37e-4fe4-9c87-89017c5cf859,art,Brittany Dorsey,2024-01-09,2024-01-08,"Blood owner practice institution yeah decide. Economic challenge often white. Nature still exactly.
Power than born. Pull follow sound continue base store.
Head machine kitchen."
90d85c8e-90fb-47e4-b717-d3358e091708,price,Laura Daniels,2024-01-08,2024-01-10,"Camera enjoy whose run and expect.
Act reality foot staff realize. Second apply run role music themselves us."
4ed67f61-dcb3-47d2-8050-4bc69e04adbf,great,Savannah Owen,2024-01-03,2024-01-01,"Still customer beautiful we. Civil power certain at.
Become can hair door coach. Operation assume big possible between once cold at. News radio student hard finish cut."
